Year,App,Taxon,Class,Importer,Exporter,Exporter_reported_quantity,Term,Purpose,Source
2002,I,Aquila adalberti,Aves,ES,US,9,specimens,S,O
2002,I,Aquila heliaca,Aves,AT,HU,1,live,B,W
2002,I,Aquila heliaca,Aves,BE,RU,1,live,Z,F
2002,I,Aquila heliaca,Aves,ES,HU,100,feathers,S,W
2002,I,Aquila heliaca,Aves,ES,US,2,specimens,S,O
2002,I,Aquila heliaca,Aves,ES,US,3,specimens,S,O
2002,I,Aquila heliaca,Aves,ES,US,1,specimens,S,O
2002,I,Aquila heliaca,Aves,ES,US,5,specimens,S,O
2002,I,Aquila heliaca,Aves,ES,US,2,specimens,S,O
2002,I,Aquila heliaca,Aves,GB,NZ,1,specimens,,
2002,I,Aquila heliaca,Aves,HU,AT,,live,B,W
2002,I,Aquila heliaca,Aves,HU,BG,50,feathers,S,W
2002,I,Haliaeetus albicilla,Aves,AT,LV,1,live,Z,F
2002,I,Haliaeetus albicilla,Aves,AT,PL,1,bodies,E,W
2002,I,Haliaeetus albicilla,Aves,CH,DE,1,live,T,C
2002,I,Haliaeetus albicilla,Aves,CH,DE,,live,Z,C
2002,I,Haliaeetus albicilla,Aves,CZ,FR,1,live,Q,C
2002,I,Haliaeetus albicilla,Aves,CZ,FR,,live,B,C
2002,I,Haliaeetus albicilla,Aves,DK,PL,1,bodies,E,W
2002,I,Haliaeetus albicilla,Aves,DK,PL,,bodies,Q,W
2002,I,Haliaeetus albicilla,Aves,ES,PL,1,bodies,E,W
2002,I,Haliaeetus albicilla,Aves,FR,CZ,1,live,B,C
2002,I,Haliaeetus albicilla,Aves,FR,CZ,,live,Q,C
2002,I,Haliaeetus albicilla,Aves,GB,PL,1,live,Z,W
2002,I,Haliaeetus albicilla,Aves,IL,NL,3,live,N,C
2002,I,Haliaeetus albicilla,Aves,IT,KZ,,live,Q,C
2002,I,Haliaeetus albicilla,Aves,MT,GB,2,bodies,P,U
2002,I,Haliaeetus albicilla,Aves,PL,AT,,bodies,E,W
2002,I,Haliaeetus albicilla,Aves,PL,DK,1,bodies,E,W
2002,I,Haliaeetus albicilla,Aves,PL,ES,1,bodies,E,W
2002,I,Haliaeetus leucocephalus,Aves,CA,US,14,claws,P,I
2002,I,Haliaeetus leucocephalus,Aves,CA,US,56,feathers,P,U
2002,I,Haliaeetus leucocephalus,Aves,CA,US,4,feathers,P,W
2002,I,Haliaeetus leucocephalus,Aves,CA,US,1,skulls,P,I
2002,I,Haliaeetus leucocephalus,Aves,CH,BE,,live,Z,D
2002,I,Haliaeetus leucocephalus,Aves,CH,CZ,1,live,B,C
2002,I,Haliaeetus leucocephalus,Aves,CH,CZ,,live,Z,C
2002,I,Haliaeetus leucocephalus,Aves,CY,GB,2,live,B,F
2002,I,Haliaeetus leucocephalus,Aves,ES,CA,2,live,Z,C
2002,I,Haliaeetus leucocephalus,Aves,FI,RU,,feathers,E,O
2002,I,Haliaeetus leucocephalus,Aves,FR,CA,,live,B,C
2002,I,Haliaeetus leucocephalus,Aves,FR,CA,2,live,P,C
2002,I,Haliaeetus leucocephalus,Aves,GB,GG,1,live,Q,C
2002,I,Haliaeetus leucocephalus,Aves,GB,IM,5,feathers,P,C
2002,I,Haliaeetus leucocephalus,Aves,GG,GB,,live,Q,C
