Year,App,Taxon,Class,Importer,Exporter,Exporter_reported_quantity,Term,Purpose,Source
2000,I,Aquila heliaca,Aves,BE,AE,1,live,P,C
2000,I,Aquila heliaca,Aves,BE,AE,2,live,T,C
2000,I,Aquila heliaca,Aves,FR,RU,1,live,Z,F
2000,I,Aquila heliaca,Aves,PL,HU,50,feathers,S,O
2000,I,Aquila heliaca,Aves,PL,RU,2,live,Z,F
2000,I,Aquila heliaca,Aves,US,KZ,85,feathers,S,W
2000,I,Aquila heliaca,Aves,US,KZ,125,specimens,S,W
2000,I,Aquila heliaca,Aves,US,SG,1,specimens,S,W
2000,I,Haliaeetus albicilla,Aves,AT,CZ,1,bodies,T,W
2000,I,Haliaeetus albicilla,Aves,CZ,RU,2,live,B,C
2000,I,Haliaeetus albicilla,Aves,CZ,UA,,live,Z,W
2000,I,Haliaeetus albicilla,Aves,DE,DK,1,live,T,F
2000,I,Haliaeetus albicilla,Aves,DK,GL,1,bodies,E,W
2000,I,Haliaeetus albicilla,Aves,DK,GL,12,bodies,S,W
2000,I,Haliaeetus albicilla,Aves,DK,GL,,eggs,S,W
2000,I,Haliaeetus albicilla,Aves,DK,GL,,specimens,S,W
2000,I,Haliaeetus albicilla,Aves,GB,RU,6,live,B,C
2000,I,Haliaeetus albicilla,Aves,GL,DK,1,bodies,E,W
2000,I,Haliaeetus albicilla,Aves,IL,NL,2,live,N,C
2000,I,Haliaeetus albicilla,Aves,IL,RU,2,live,B,C
2000,I,Haliaeetus albicilla,Aves,IL,UA,,live,B,W
2000,I,Haliaeetus albicilla,Aves,NL,PL,,live,Z,W
2000,I,Haliaeetus albicilla,Aves,RU,KZ,1,live,Z,C
2000,I,Haliaeetus albicilla,Aves,RU,KZ,,live,Z,F
2000,I,Haliaeetus albicilla,Aves,SE,DK,2,eggs,S,W
2000,I,Haliaeetus albicilla,Aves,SE,DK,14,specimens,S,W
2000,I,Haliaeetus albicilla,Aves,SE,EE,29,specimens,S,W
2000,I,Haliaeetus albicilla,Aves,SE,NO,137,specimens,S,W
2000,I,Haliaeetus albicilla,Aves,SE,RU,4,feathers,S,W
2000,I,Haliaeetus albicilla,Aves,SE,RU,164,specimens,S,W
2000,I,Haliaeetus albicilla,Aves,US,KZ,43,feathers,S,W
2000,I,Haliaeetus albicilla,Aves,US,KZ,32,specimens,S,W
2000,I,Haliaeetus leucocephalus,Aves,AR,CA,,live,,C
2000,I,Haliaeetus leucocephalus,Aves,AT,CZ,1,live,B,C
2000,I,Haliaeetus leucocephalus,Aves,AT,CZ,1,live,Z,C
2000,I,Haliaeetus leucocephalus,Aves,CA,AR,2,live,Q,C
2000,I,Haliaeetus leucocephalus,Aves,CA,US,,bodies,L,W
2000,I,Haliaeetus leucocephalus,Aves,CA,US,1,bodies,,W
2000,I,Haliaeetus leucocephalus,Aves,CA,US,1,feathers,P,I
2000,I,Haliaeetus leucocephalus,Aves,CA,US,16,feathers,P,W
2000,I,Haliaeetus leucocephalus,Aves,CA,US,34,feathers,P,W
2000,I,Haliaeetus leucocephalus,Aves,CH,FR,1,live,Q,C
2000,I,Haliaeetus leucocephalus,Aves,DE,CA,1,bodies,P,W
2000,I,Haliaeetus leucocephalus,Aves,DE,CA,,bones,P,W
2000,I,Haliaeetus leucocephalus,Aves,DE,CA,,claws,P,W
2000,I,Haliaeetus leucocephalus,Aves,DE,CA,1,feathers,P,W
2000,I,Haliaeetus leucocephalus,Aves,DE,CA,,skulls,P,W
2000,I,Haliaeetus leucocephalus,Aves,DE,CZ,1,live,T,C
2000,I,Haliaeetus leucocephalus,Aves,DE,DE,1,feathers,P,C
2000,I,Haliaeetus leucocephalus,Aves,DK,CA,,feathers,P,W
2000,I,Haliaeetus leucocephalus,Aves,DK,CA,2,feathers,,U
2000,I,Haliaeetus leucocephalus,Aves,FR,CA,,live,Z,C
2000,I,Haliaeetus leucocephalus,Aves,FR,CZ,,live,Z,C
2000,I,Haliaeetus leucocephalus,Aves,FR,US,1,unspecified,,O
2000,I,Haliaeetus leucocephalus,Aves,FR,US,,carvings,Q,O
2000,I,Haliaeetus leucocephalus,Aves,FR,US,2,unspecified,,O
2000,I,Haliaeetus leucocephalus,Aves,FR,US,3,unspecified,,O
2000,I,Haliaeetus leucocephalus,Aves,GB,CZ,2,live,B,C
2000,I,Haliaeetus leucocephalus,Aves,IT,CZ,1,live,Z,C
2000,I,Haliaeetus leucocephalus,Aves,MX,CA,2,live,Z,W
2000,I,Haliaeetus leucocephalus,Aves,NL,CA,,live,B,C
2000,I,Haliaeetus leucocephalus,Aves,NL,CA,6,live,P,C
2000,I,Haliaeetus leucocephalus,Aves,NL,CA,,live,T,C
2000,I,Haliaeetus leucocephalus,Aves,NL,US,2,feathers,P,W
2000,I,Haliaeetus leucocephalus,Aves,NZ,CA,,feathers,P,W
2000,I,Haliaeetus leucocephalus,Aves,NZ,CA,,feathers,,I
2000,I,Haliaeetus leucocephalus,Aves,NZ,JO,,bodies,,I
2000,I,Haliaeetus leucocephalus,Aves,NZ,UM,,feathers,,I
2000,I,Haliaeetus leucocephalus,Aves,RU,CZ,1,live,Z,C
2000,I,Haliaeetus leucocephalus,Aves,SG,CA,1,live,Z,F
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,bone carvings,P,I
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,I
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,W
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,unspecified,P,W
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,U
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,,I
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,bone carvings,P,W
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,bodies,P,I
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,claws,P,W
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,I
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,I
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,U
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,W
2000,I,Haliaeetus leucocephalus,Aves,US,CA,,unspecified,P,W
2000,I,Haliaeetus leucocephalus,Aves,US,FR,2,carvings,Q,O
2000,I,Haliaeetus leucocephalus,Aves,US,NZ,,feathers,P,W
2000,I,Harpia harpyja,Aves,DE,BR,1,specimens,E,C
2000,I,Harpia harpyja,Aves,PA,PA,,live,S,
2000,I,Harpia harpyja,Aves,PA,PA,,live,S,
2000,I,Harpia harpyja,Aves,PA,PA,,live,S,
2000,I,Harpia harpyja,Aves,PA,US,,live,S,
2000,I,Harpia harpyja,Aves,PA,US,1,live,S,W
2000,I,Harpia harpyja,Aves,PA,US,1,live,S,F
2000,I,Harpia harpyja,Aves,PA,US,,live,S,
2000,I,Harpia harpyja,Aves,PA,US,1,live,T,F
2000,I,Harpia harpyja,Aves,PT,BR,1,feathers,E,W
2000,I,Harpia harpyja,Aves,US,PA,1,specimens,S,W
2000,I,Acipenser sturio,Actinopteri,CA,HU,,specimens,S,F
2000,I,Agave spp.,,CH,BE,445,live,T,A
2000,I,Agave parviflora,,AU,US,240,seeds,T,D
2000,I,Agave parviflora,,BE,US,,seeds,P,D
2000,I,Agave parviflora,,BE,US,60,seeds,T,D
2000,I,Agave parviflora,,BG,US,100,seeds,T,D
2000,I,Agave parviflora,,CH,DE,4,live,T,D
2000,I,Agave parviflora,,CH,DE,,live,,A
2000,I,Agave parviflora,,CH,ES,10,live,T,D
2000,I,Agave parviflora,,CH,ES,,live,,A
2000,I,Agave parviflora,,CL,DE,1,live,T,D
2000,I,Agave parviflora,,CZ,US,100,seeds,T,D
2000,I,Agave parviflora,,DE,MC,,live,T,D
2000,I,Agave parviflora,,FR,US,60,seeds,T,D
2000,I,Agave parviflora,,GB,US,200,seeds,T,D
2000,I,Agave parviflora,,HK,US,1000,seeds,T,D
2000,I,Agave parviflora,,HU,US,120,seeds,T,D
2000,I,Agave parviflora,,IT,US,520,seeds,T,D
